cell_id,row,col,min_lon,min_lat,max_lon,max_lat,lat,lon,quadrant,model,split,fold_id,true_delta_builtup,true_delta_water,true_delta_other,pred_delta_builtup,pred_delta_water,pred_delta_other,unc_delta_builtup,unc_delta_water,abs_error_delta_builtup,abs_error_delta_water,true_change_flag,pred_change_flag,confidence_label
65,1,25,11.16875392745801,49.54402324667246,11.177737080299204,49.5498517398657,49.546937493269084,11.173245503878608,NE,Linear Regression,spatial_group_kfold,2,0.0,0.0,-0.0,0.312856478598107,-0.15445948708388976,-0.15839699151421724,0.16106680922171768,0.0671869669053206,0.312856478598107,0.15445948708388976,0,0,medium
66,1,26,11.177737080299204,49.54402324667246,11.1867202331404,49.5498517398657,49.546937493269084,11.182228656719802,NE,Linear Regression,spatial_group_kfold,2,0.0,0.0,-0.0,0.27873220497133006,-0.12291061735628016,-0.15582158761504988,0.10916371332330504,0.057016697687471266,0.27873220497133006,0.12291061735628016,0,0,high
67,1,27,11.1867202331404,49.54402324667246,11.195703385981597,49.5498517398657,49.546937493269084,11.191211809560999,NE,Linear Regression,spatial_group_kfold,2,0.0,0.0,-0.0,0.15130482136581147,-0.10370730651965837,-0.0475975148461531,0.10235333043002129,0.02373817283607176,0.15130482136581147,0.10370730651965837,0,0,high
68,1,28,11.195703385981597,49.54402324667246,11.204686538822791,49.5498517398657,49.546937493269084,11.200194962402193,NE,Linear Regression,spatial_group_kfold,2,-0.14,0.0,0.14,-0.44506603611479434,0.02140932730063074,0.4236567088141636,0.141329381676331,0.046411939190826965,0.3050660361147943,0.02140932730063074,0,0,medium
69,1,29,11.204686538822791,49.54402324667246,11.213669691663984,49.5498517398657,49.546937493269084,11.209178115243388,NE,Linear Regression,spatial_group_kfold,2,-0.73,0.0,0.73,-0.25432911933986135,0.0196916830894258,0.23463743625043554,0.1434124713856833,0.09487242842154597,0.47567088066013863,0.0196916830894258,0,0,medium
70,1,30,11.213669691663984,49.54402324667246,11.22265284450518,49.5498517398657,49.546937493269084,11.218161268084582,NE,Linear Regression,spatial_group_kfold,1,-0.22,0.0,0.22,-0.6769137206401011,-0.054333219568557425,0.7312469402086585,0.17126131322825558,0.07060683571788255,0.45691372064010116,0.054333219568557425,0,0,medium
71,1,31,11.22265284450518,49.54402324667246,11.231635997346377,49.5498517398657,49.546937493269084,11.227144420925779,NE,Linear Regression,spatial_group_kfold,1,0.0,0.0,-0.0,-0.5090072289464816,0.0172101922866377,0.491797036659844,0.14432494743302557,0.04702936805491072,0.5090072289464816,0.0172101922866377,0,0,medium
72,1,32,11.231635997346377,49.54402324667246,11.240619150187571,49.5498517398657,49.546937493269084,11.236127573766975,NE,Linear Regression,spatial_group_kfold,1,-0.11,0.0,0.11,-0.8105613096261036,0.14967267856162453,0.660888631064479,0.2051800356082739,0.06585857406826537,0.7005613096261036,0.14967267856162453,0,0,low
73,1,33,11.240619150187571,49.54402324667246,11.249602303028766,49.5498517398657,49.546937493269084,11.245110726608168,NE,Linear Regression,spatial_group_kfold,1,0.0,0.0,-0.0,-0.29007594032168704,0.04299139427267503,0.247084546049012,0.09442331370217835,0.018048368104751574,0.29007594032168704,0.04299139427267503,0,0,high
74,1,34,11.249602303028766,49.54402324667246,11.258585455869962,49.5498517398657,49.546937493269084,11.254093879449364,NE,Linear Regression,spatial_group_kfold,1,0.07,0.0,-0.07,-0.6762180458333827,0.1207407697058161,0.5554772761275666,0.14206177621749527,0.061513232785747315,0.7462180458333827,0.1207407697058161,0,0,medium
75,1,35,11.258585455869962,49.54402324667246,11.267568608711157,49.5498517398657,49.546937493269084,11.26307703229056,NE,Linear Regression,spatial_group_kfold,1,-0.48,0.0,0.48,-0.4307458543133592,0.12437368157802323,0.306372172735336,0.18417504458681086,0.0546720177873582,0.04925414568664077,0.12437368157802323,0,0,medium
76,1,36,11.267568608711157,49.54402324667246,11.276551761552351,49.5498517398657,49.546937493269084,11.272060185131753,NE,Linear Regression,spatial_group_kfold,1,0.01,-0.1,0.09000000000000001,-0.2955529008787622,0.07575073590737451,0.21980216497138766,0.1666871399357087,0.0708275050567168,0.3055529008787622,0.1757507359073745,0,0,medium
77,1,37,11.276551761552351,49.54402324667246,11.285534914393548,49.5498517398657,49.546937493269084,11.28104333797295,NE,Linear Regression,spatial_group_kfold,1,0.0,0.02,-0.02,-0.5697003999765208,0.2011206497404649,0.3685797502360559,0.27481344144068487,0.04873465865560705,0.5697003999765208,0.1811206497404649,0,0,low
78,1,38,11.285534914393548,49.54402324667246,11.294518067234742,49.5498517398657,49.546937493269084,11.290026490814146,NE,Linear Regression,spatial_group_kfold,1,0.0,0.0,-0.0,0.2099772136964293,0.020378370145056265,-0.23035558384148558,0.129675353335222,0.03201483160466395,0.2099772136964293,0.020378370145056265,0,0,medium
79,1,39,11.294518067234742,49.54402324667246,11.29856048601328,49.5498517398657,49.546937493269084,11.29653927662401,NE,Linear Regression,spatial_group_kfold,1,0.0,-0.36,0.36,-6.506783404891525e-05,0.058571470444879856,-0.05850640261083094,0.13570268039864797,0.03534265358073414,6.506783404891525e-05,0.41857147044487986,0,0,medium
80,2,0,10.944175106428128,49.53819405810491,10.953158259269324,49.54402324667246,49.54110865238869,10.948666682848726,NW,Linear Regression,spatial_group_kfold,4,0.38,0.0,-0.38,-1.516222046627613,0.20306227748986785,1.3131597691377452,0.33077134991487345,0.15666581488332493,1.8962220466276132,0.20306227748986785,0,1,low
